conversation_id,timestamp_start,platform,counterparty_contact,senior_contact,language,message_count,is_scam,scam_type,scam_stage,requested_action,sensitive_info_requested,severity,conversation_text,has_url,has_upi,has_otp,has_qr,has_phone,has_threat,has_urgency
WA0027,2025-11-23 18:07:43,WhatsApp,+91-72671-84913,SENIOR_USER,English,5,1,Job Offer Scam,Lure,Click link,,3,"Scammer: HR: Part-time work-from-home job available. 🙏
Senior: I'm retired.
Scammer: Easy task. Earn ₹25000/day. Register at https://t.co/lIrb6Sk.
Senior: Ok.
Scammer: Pay ₹49 to UPI jabxjz@paytm.",1,1,0,0,0,0,0
WA0059,2025-02-18 03:02:57,WhatsApp,+91-95516-08928,SENIOR_USER,English,6,1,Government/Authority Impersonation (incl. Digital Arrest),Escalation/Threat,Click link,Aadhaar,5,"Scammer: Namaste, I'm from Income Tax Department. Your number is linked to a cyber fraud case.
Senior: What? I have done nothing.
Scammer: We have a complaint under your Aadhaar. You must verify now.
Senior: How do I verify?
Scammer: Stay on call. For verification, transfer ₹9900 (refundable) to UPI stfumv@paytm.
Scammer: If you disconnect, FIR will be filed.",0,1,0,0,0,1,1
WA0067,2025-05-24 00:53:29,WhatsApp,+91-92737-52205,SENIOR_USER,Hinglish,6,1,Family/Friend Impersonation,Payment/Transfer,Pay via UPI,,5,"Scammer: Hi Mom, it's me. New number. Phone lost.
Senior: Which friend are you with?
Scammer: Can't talk. I'm in trouble.
Scammer: Send ₹499 to UPI bfkqir@ibl. Don't call.
Senior: I'll call your old number to confirm.
Scammer: Network issue. Please do it now.",0,1,0,0,0,0,1
WA0044,2025-07-23 10:55:21,WhatsApp,+91-69541-90416,SENIOR_USER,English,5,1,Delivery/Courier / Customs Scam,Payment/Transfer,Click link,,4,"Scammer: FedEx: Your parcel is held at customs.
Senior: I didn't order anything.
Scammer: It might be a gift. Clearance pending.
Senior: Send tracking ID and I'll check on official site.
Scammer: Tracking F9UFEX. Pay ₹49 via https://rebrand.ly/bx9ZxQb now, else return.",1,0,0,0,0,0,1
WA0057,2025-07-11 11:03:19,WhatsApp,+91-69112-12170,SENIOR_USER,English,6,1,Government/Authority Impersonation (incl. Digital Arrest),Escalation/Threat,Click link,Aadhaar,5,"Scammer: Namaste, I'm from Police Control Room. Your number is linked to a cyber fraud case.
Senior: What? I have done nothing.
Scammer: We have a complaint under your Aadhaar. You must verify now.
Senior: How do I verify?
Scammer: Stay on call. For verification, transfer ₹25000 (refundable) to UPI zjgxkx@ibl.
Scammer: If you disconnect, FIR will be filed.",0,1,0,0,0,1,1
WA0058,2025-09-30 20:20:59,WhatsApp,+91-82357-89681,SENIOR_USER,English,6,1,Government/Authority Impersonation (incl. Digital Arrest),Escalation/Threat,Call number,Aadhaar,5,"Scammer: Namaste, I'm from Police Control Room. Your number is linked to a cyber fraud case. 🙏
Senior: What? I have done nothing.
Scammer: We have a complaint under your Aadhaar. You must verify now.
Senior: How do I verify?
Scammer: Stay on call. For verification, transfer ₹499 (refundable) to UPI nlcows@ibl.
Scammer: If you disconnect, FIR will be filed.",0,1,0,0,0,1,1
WA0019,2025-10-15 12:24:30,WhatsApp,+91-77960-14992,SENIOR_USER,Hinglish,6,1,Tech Support / Remote Access Scam,Action request,Install remote-support app,,4,"Scammer: PhonePe Support: malware detected on your phone.
Senior: My phone is working fine.
Scammer: It will stop soon. Install AnyDesk so I can remove it.
Scammer: Download: https://pay-safe.link/ioi4eedepz
Senior: Why should I install? Can't you guide me without an app?
Scammer: No. Without remote access we can't fix.",1,0,0,0,0,0,0
WA0003,2025-11-29 19:11:50,WhatsApp,+91-74380-79639,SENIOR_USER,English,5,1,Bank/KYC Fraud,Action request,Share OTP,OTP,5,"Scammer: Hello, Canara KYC desk here. Your account will freeze today. 🙏
Senior: I don't think banks message on WhatsApp.
Scammer: We are on official WhatsApp support. Quick verification only.
Senior: Ok what should I do?
Scammer: Share OTP and PAN photo. Or verify at https://support-helpdesk.in/anum29kfew.",1,0,1,0,0,1,1
WA0041,2025-11-21 18:21:33,WhatsApp,+91-84189-44632,SENIOR_USER,Hinglish,5,1,Delivery/Courier / Customs Scam,Payment/Transfer,Click link,,4,"Scammer: FedEx: Your parcel is held at customs.
Senior: I didn't order anything.
Scammer: It might be a gift. Clearance pending.
Senior: How much to pay?
Scammer: Pay ₹499 at https://track-parcel.in/vbu42jaubv and send screenshot.",1,0,0,0,0,0,0
WA0052,2025-08-12 13:31:37,WhatsApp,+91-81492-54055,SENIOR_USER,Hinglish,5,1,Telecom/Utility / KYC Scam,Action request,Share OTP,OTP,4,"Scammer: Airtel: SIM deactivation today due to KYC pending.
Senior: But my SIM is active.
Scammer: System check. Update now.
Senior: I will use the official app.
Scammer: No time. Use https://gpay-help.in/68qc85wy6d to update within 2 hours.",1,0,0,0,0,0,1
WA0023,2025-07-01 08:16:37,WhatsApp,+91-76410-21675,SENIOR_USER,Hinglish,6,1,Tech Support / Remote Access Scam,Action request,Install remote-support app,,4,"Scammer: Microsoft Support: malware detected on your phone. 🙏
Senior: My phone is working fine.
Scammer: It will stop soon. Install TeamViewer so I can remove it.
Scammer: Download: https://support-helpdesk.in/7cgu2krqov
Senior: Ok, installed.
Scammer: Now share the 9-digit code shown on screen.",1,0,0,0,0,0,1
WA0063,2025-12-22 11:05:42,WhatsApp,+91-92395-96326,SENIOR_USER,English,6,1,Government/Authority Impersonation (incl. Digital Arrest),Escalation/Threat,Pay via UPI,Aadhaar,5,"Scammer: Namaste, I'm from Cyber Crime Cell. Your number is linked to a cyber fraud case.
Senior: What? I have done nothing.
Scammer: We have a complaint under your Aadhaar. You must verify now.
Senior: How do I verify?
Scammer: Stay on call. For verification, transfer ₹7500 (refundable) to UPI mnowog@okicici.
Scammer: If you disconnect, FIR will be filed.",0,1,0,0,0,1,1
WA0097,2025-08-07 10:27:19,WhatsApp,+91-94484-96558,SENIOR_USER,English,2,0,Legitimate: Delivery Update,No action (info only),Visit official app/website,,1,"Courier: DTDC: Your package is out for delivery today. Track: https://amazon.in/wtae9sqar3
Senior: Ok, I will be home.",1,0,0,0,0,0,1
WA0036,2025-10-18 07:53:37,WhatsApp,+91-66914-05847,SENIOR_USER,Hinglish,6,1,Loan/Investment Scam,Payment/Transfer,Click link,,3,"Scammer: Pre-approved loan ₹9900 ready. No documents.
Senior: I did not apply.
Scammer: Special scheme. Activate by paying ₹999 fee.
Scammer: Pay at https://cutt.ly/2T8G2Ui or UPI dbeopk@okhdfc.
Senior: I'll visit branch.
Scammer: Offer ends today. Online only.",1,1,0,0,0,0,1
WA0088,2025-05-14 16:22:59,WhatsApp,+91-88660-93529,SENIOR_USER,Hinglish,2,0,Legitimate: Bank Alert,No action (info only),Visit official app/website,,1,"Bank: HDFC: Your statement is ready. View in official app or https://india-post.gov.in/h20rk2rit0
Senior: Ok thanks.",1,0,0,0,0,0,0
WA0056,2025-04-07 18:02:18,WhatsApp,+91-87946-31680,SENIOR_USER,Hinglish,6,1,Telecom/Utility / KYC Scam,Action request,Click link,OTP,4,"Scammer: Vi: SIM deactivation today due to KYC pending.
Senior: But my SIM is active.
Scammer: System check. Update now.
Scammer: BWSSB: electricity bill overdue. Pay now to avoid disconnection: https://rebrand.ly/vNiL8D2
Senior: I will use the official app.
Scammer: No time. Use https://gpay-help.in/j62jo6k1k6 to update within 2 hours.",1,0,0,0,0,0,1
WA0040,2025-11-19 01:54:56,WhatsApp,+91-82459-63705,SENIOR_USER,English,6,1,Loan/Investment Scam,Payment/Transfer,Click link,,3,"Scammer: Pre-approved loan ₹50000 ready. No documents.
Senior: I did not apply.
Scammer: Special scheme. Activate by paying ₹99 fee.
Scammer: Pay at https://tinyurl.com/JCKxd13 or UPI bdphza@paytm.
Senior: I'll visit branch.
Scammer: Offer ends today. Online only.",1,1,0,0,0,0,1
WA0069,2025-11-06 17:12:17,WhatsApp,+91-79844-71034,SENIOR_USER,Hinglish,6,1,Family/Friend Impersonation,Payment/Transfer,Pay via UPI,,5,"Scammer: Hi Mom, it's me. New number. Phone lost.
Senior: Which friend are you with?
Scammer: Can't talk. I'm in trouble.
Scammer: Send ₹1500 to UPI kgvvzg@ibl. Don't call.
Senior: I'll call your old number to confirm.
Scammer: Network issue. Please do it abhi.",0,1,0,0,0,0,0
WA0025,2025-07-02 05:54:45,WhatsApp,+91-83166-73561,SENIOR_USER,English,5,1,Job Offer Scam,Lure,Share ID docs,,3,"Scammer: HR: Part-time work-from-home job available. 🙏
Senior: I'm retired.
Scammer: Easy task. Earn ₹50000/day. Register at https://cutt.ly/ECrD3FH.
Senior: No fees, right?
Scammer: Small refundable fee ₹999 for ID verification.",1,0,0,0,0,0,0
WA0016,2025-07-28 01:10:56,WhatsApp,+91-75411-81415,SENIOR_USER,Hinglish,4,1,Lottery/Prize Scam,Lure,Call number,,4,"Scammer: Congratulations! You won ₹2500 in New Year Bonanza!
Senior: I never participated.
Scammer: Auto-selected from mobile number.
Scammer: To claim, pay ₹299 processing fee to UPI fkqwyf@oksbi.",0,1,0,0,0,0,0
WA0049,2025-10-22 17:27:42,WhatsApp,+91-92274-82244,SENIOR_USER,English,5,1,Telecom/Utility / KYC Scam,Action request,Click link,PAN,4,"Scammer: Vi: SIM deactivation today due to KYC pending. 🙏
Senior: But my SIM is active.
Scammer: System check. Update now.
Senior: Ok send link.
Scammer: Here: https://verify-now.co/ygqxnro8x0. After update, share OTP.",1,0,1,0,0,0,1
WA0007,2025-06-08 20:49:36,WhatsApp,+91-81523-53421,SENIOR_USER,English,5,1,Bank/KYC Fraud,Action request,Click link,OTP,5,"Scammer: Hello, Axis KYC desk here. Your account will freeze today.
Senior: I don't think banks message on WhatsApp.
Scammer: We are on official WhatsApp support. Quick verification only.
Senior: Ok what should I do?
Scammer: Share OTP and PAN photo. Or verify at https://verify-now.co/jpkk9xman4.",1,0,1,0,0,1,1
WA0084,2025-03-21 13:44:48,WhatsApp,+91-89069-28093,SENIOR_USER,English,3,0,Legitimate: Personal Chat,No action (info only),No action (info only),,1,"Friend: Are we meeting at 6 PM?
Senior: Yes, see you at the park.
Friend: Great, I’ll be there.",0,0,0,0,0,0,0
WA0002,2025-12-09 14:07:08,WhatsApp,+91-97348-81435,SENIOR_USER,English,6,1,Bank/KYC Fraud,Action request,Share ID docs,OTP,5,"Scammer: Hello, HDFC KYC desk here. Your account will freeze today.
Senior: I don't think banks message on WhatsApp.
Scammer: We are on official WhatsApp support. Quick verification only.
Senior: I will call the bank from the number on my passbook.
Scammer: No ma'am, transaction is in process. If delayed, money will be lost.
Scammer: Share OTP now or open https://rebrand.ly/lPah6wB to stop it.",1,0,1,0,0,1,1
WA0009,2025-07-21 07:16:56,WhatsApp,+91-90920-50664,SENIOR_USER,English,6,1,Lottery/Prize Scam,Lure,Click link,,4,"Scammer: Congratulations! You won ₹499 in KBC!
Senior: I never participated.
Scammer: Auto-selected from mobile number.
Scammer: To claim, pay ₹499 processing fee to UPI kqdqaq@ibl.
Senior: Sounds fake. Send official website link.
Scammer: Ok check https://bit.ly/FbTOWbr. Hurry, expires today.",1,1,0,0,0,0,1
WA0081,2025-07-14 23:55:30,WhatsApp,+91-84611-66441,SENIOR_USER,Hinglish,3,0,Legitimate: Personal Chat,No action (info only),No action (info only),,1,"Family: Good morning! How are you today?
Senior: Good morning. I'm fine.
Family: Don't forget your medicines after breakfast.",0,0,0,0,0,0,1
WA0045,2025-11-03 10:43:12,WhatsApp,+91-87728-13398,SENIOR_USER,English,5,1,Delivery/Courier / Customs Scam,Payment/Transfer,Click link,,4,"Scammer: Blue Dart: Your parcel is held at customs.
Senior: I didn't order anything.
Scammer: It might be a gift. Clearance pending.
Senior: Send tracking ID and I'll check on official site.
Scammer: Tracking EVW7YU. Pay ₹79 via https://rebrand.ly/9yBvrvF now, else return.",1,0,0,0,0,0,1
WA0032,2025-10-02 09:38:44,WhatsApp,+91-62610-01136,SENIOR_USER,English,5,1,Job Offer Scam,Lure,Pay via UPI,,3,"Scammer: HR: Part-time work-from-home job available.
Senior: I'm retired.
Scammer: Easy task. Earn ₹349/day. Register at https://rebrand.ly/Is1BOy3.
Senior: No fees, right?
Scammer: Small refundable fee ₹99 for ID verification.",1,0,0,0,0,0,0
WA0034,2025-05-12 04:24:40,WhatsApp,+91-89841-96880,SENIOR_USER,English,6,1,Loan/Investment Scam,Payment/Transfer,Click link,,3,"Scammer: Pre-approved loan ₹199 ready. No documents. 🙏
Senior: I did not apply.
Scammer: Special scheme. Activate by paying ₹499 fee.
Scammer: Pay at https://tinyurl.com/B2sB0R8 or UPI lfkflv@okhdfc.
Senior: I'll visit branch.
Scammer: Offer ends today. Online only.",1,1,0,0,0,0,1
WA0062,2025-05-31 12:44:18,WhatsApp,+91-94082-16461,SENIOR_USER,English,6,1,Government/Authority Impersonation (incl. Digital Arrest),Escalation/Threat,Click link,,5,"Scammer: Namaste, I'm from CBI. Your number is linked to a cyber fraud case. 🙏
Senior: What? I have done nothing.
Scammer: We have a complaint under your Aadhaar. You must verify now.
Senior: How do I verify?
Scammer: Stay on call. For verification, transfer ₹12000 (refundable) to UPI rdnohm@oksbi.
Scammer: If you disconnect, FIR will be filed.",0,1,0,0,0,1,1
WA0048,2025-07-16 19:01:15,WhatsApp,+91-77896-33725,SENIOR_USER,Hinglish,5,1,Delivery/Courier / Customs Scam,Payment/Transfer,Click link,,4,"Scammer: Blue Dart: Your parcel is held at customs.
Senior: I didn't order anything.
Scammer: It might be a gift. Clearance pending.
Senior: Send tracking ID and I'll check on official site.
Scammer: Tracking LMFN2J. Pay ₹199 via https://t.co/DNEIHCW now, else return.",1,0,0,0,0,0,1
WA0037,2025-07-14 16:39:22,WhatsApp,+91-94601-78120,SENIOR_USER,Hinglish,6,1,Loan/Investment Scam,Payment/Transfer,Pay via UPI,,3,"Scammer: Pre-approved loan ₹499 ready. No documents.
Senior: I did not apply.
Scammer: Special scheme. Activate by paying ₹499 fee.
Scammer: Pay at https://rebrand.ly/76edATu or UPI jwblht@paytm.
Senior: I'll visit branch.
Scammer: Offer ends today. Online only.",1,1,0,0,0,0,1
WA0078,2025-08-06 17:15:21,WhatsApp,+91-84394-15840,SENIOR_USER,Hinglish,5,1,Marketplace / Refund / UPI Scam,Action request,Scan QR / approve collect request,OTP,4,"Scammer: Quikr buyer here. I'll pay ₹999 abhi. 🙏
Senior: Ok.
Scammer: You will get an OTP—tell me to confirm payment.
Senior: I received OTP.
Scammer: Read it out quickly.",0,0,1,0,0,0,0
WA0079,2025-06-17 06:33:09,WhatsApp,+91-93249-77261,SENIOR_USER,Hinglish,5,1,Marketplace / Refund / UPI Scam,Action request,Scan QR / approve collect request,OTP,4,"Scammer: OLX buyer here. I'll pay ₹5000 now.
Senior: Ok.
Scammer: You will get an OTP—tell me to confirm payment.
Senior: I received OTP.
Scammer: Read it out quickly.",0,0,1,0,0,0,1
WA0086,2025-02-21 13:31:32,WhatsApp,+91-66253-51322,SENIOR_USER,Hinglish,3,0,Legitimate: Personal Chat,No action (info only),No action (info only),,1,"Family: Good morning! How are you today?
Senior: Good morning. I'm fine.
Family: Don't forget your medicines after breakfast.",0,0,0,0,0,0,1
WA0076,2025-05-16 16:10:54,WhatsApp,+91-99732-97792,SENIOR_USER,English,5,1,Marketplace / Refund / UPI Scam,Action request,Share OTP,OTP,4,"Scammer: Quikr buyer here. I'll pay ₹999 now.
Senior: Ok.
Scammer: You will get an OTP—tell me to confirm payment.
Senior: I received OTP.
Scammer: Read it out quickly.",0,0,1,0,0,0,1
WA0064,2025-12-18 16:18:15,WhatsApp,+91-66028-10348,SENIOR_USER,English,6,1,Government/Authority Impersonation (incl. Digital Arrest),Escalation/Threat,Call number,,5,"Scammer: Namaste, I'm from Cyber Crime Cell. Your number is linked to a cyber fraud case. 🙏
Senior: What? I have done nothing.
Scammer: We have a complaint under your Aadhaar. You must verify now.
Senior: Can you send an official email or reference number?
Scammer: Reference A1BAOJ. Time is limited. Click https://bank-kycverify.com/06z52bsna5 or call +91-93041-77863 now.
Scammer: If you disconnect, FIR will be filed.",1,0,0,0,1,1,1
WA0070,2025-04-27 19:21:22,WhatsApp,+91-62082-11250,SENIOR_USER,Hinglish,6,1,Family/Friend Impersonation,Payment/Transfer,Pay via UPI,,5,"Scammer: Hi Mom, it's me. New number. Phone lost.
Senior: Which friend are you with?
Scammer: Can't talk. I'm in trouble.
Scammer: Send ₹999 to UPI wyfyjn@ybl. Don't call.
Senior: I'll call your old number to confirm.
Scammer: Network issue. Please do it abhi.",0,1,0,0,0,0,0
WA0100,2025-09-21 05:19:52,WhatsApp,+91-74838-42462,SENIOR_USER,Hinglish,2,0,Legitimate: Subscription/Receipt,No action (info only),No action (info only),,1,"Service: Your Netflix subscription renewed. Receipt: 4CL4Z1
Senior: Thanks.",0,0,0,0,0,0,0
WA0012,2025-12-15 04:18:20,WhatsApp,+91-73859-47777,SENIOR_USER,Hinglish,6,1,Lottery/Prize Scam,Lure,Call number,,4,"Scammer: Congratulations! You won ₹9900 in WhatsApp Promo!
Senior: I never participated.
Scammer: Auto-selected from mobile number.
Scammer: To claim, pay ₹299 processing fee to UPI njkmlz@paytm.
Senior: Sounds fake. Send official website link.
Scammer: Ok check https://rebrand.ly/chs3Qk0. Hurry, expires today.",1,1,0,0,0,0,1
